acronym,continent_hq,country_hq,environment_projects_url,id,name,religious_affiliation,religious_subgroup,reports_publications,website
ARRCC,Australia/Oceania,Australia,"https://www.arrcc.org.au/get-active
https://www.arrcc.org.au/cool-communities-taking-action-on-climate-change",243,Australian Religious Response to Climate Change,Interfaith,,https://d3n8a8pro7vhmx.cloudfront.net/arrcc/pages/46/attachments/original/1613701249/ARRCC_2020_Annual_Report_FINAL_6MB.pdf?1613701249,https://www.arrcc.org.au
,North America,USA,https://aytzim.org/about-us,244,Aytzim,Jewish,,https://aytzim.org/resources/articles,https://aytzim.org
,Global,,https://www.bic.org/perspectives/perspective-address-climate-change-ensure-coherence-between-principle-and-action,245,Bahai International Community,Baha'i,,,https://www.bic.org
,Europe,United Kingdom,https://bahutrust.org/environment/,246,BAHU Trust,Muslim,Sufi,,https://bahutrust.org
,North America,USA,https://www.bhumiglobal.org/our-work,247,Bhumi Global,Hindu,,,https://www.bhumiglobal.org
,Asia,India,"https://www.uri.org/uri-story/20170605-bishnoi-not-just-community-belief-system-supports-environmental-commitment
https://india.mongabay.com/2020/04/bishnois-taking-environment-conservation-beyond-religion/",248,Bishnoi Community,Hindu,Bishnoi,,
,Global,,https://eco.brahmakumaris.org/what-we-do/,249,Brahma Kumaris Environment Initiative,Brahma Kumari,,,https://eco.brahmakumaris.org
,North America,USA,https://www.buddhistglobalrelief.org/current-projects/sustainable-agriculture/,250,Buddhist Global Relief,Buddhist,,,https://www.buddhistglobalrelief.org
,North America,USA,https://tzuchi.us/ethical-eating-day,251,Buddhist Tzu Chi Foundation,Buddhist,Jing Si Dharma,,https://www.tzuchi.us
,North America,USA,https://cadena.ngo/en/prevention-and-resilience-building/,252,Cadena,Jewish,,,http://www.cadena.ngo/
,Africa,Kenya,"https://caritaskenya.or.ke/livelihoods-wash/
https://caritaskenya.or.ke/climate-change-sdgs/",253,Caritas Kenya,Christian,Catholic,,https://caritaskenya.or.ke
,North America,USA,http://carmelitengo.org/en/projects-en/,254,Carmelite NGO,Christian,Catholic - Carmelite,http://carmelitengo.org/ngo/wp-content/uploads/2021/03/Bulletin-2021-vol-14-number-2.pdf,http://carmelitengo.org/en/
,North America,USA,https://catholic-animals.com/activities/,255,Catholic Concern for Animals,Christian,Catholic,,https://catholic-animals.com
,Australia/Oceania,Australia,https://catholicearthcare.org.au/resources/,256,Catholic Earthcare Australia,Christian,Catholic,https://catholicearthcare.org.au/resources/,https://catholicearthcare.org.au
KLJB,Europe,Germany,https://www.kljb.org/aktionen/,257,Catholic Rural Youth Movement Germany e.V.,Christian,Catholic,,https://www.kljb.org
CYNESA,Africa,Kenya,http://www.cynesa.org/projects/,258,Catholic Youth Network for Environmental Sustainability in Africa,Christian,Catholic,,http://www.cynesa.org
,Europe,Serbia,"https://www-cekor-org.translate.goog/index/page/lg/sr/id/720?_x_tr_sl=auto&_x_tr_tl=en&_x_tr_hl=en-US&_x_tr_pto=wapp&_x_tr_sch=http
",259,Centre for Ecology and Sustainable Development (CEKOR),Christian,Orthodox,https://orthodoxtimes.com/upcoming-un-event-to-be-co-sponsored-by-greek-orthodox-archdiocese-of-america/,http://www.cekor.org
,North America,USA,https://chicagomuslimsgreenteam.org/green-mosque-program,260,Chicago Muslims Green Team,Muslim,,,https://chicagomuslimsgreenteam.org/
