id,name,acronym,website,religious_affiliation,religious_subgroup,continent_hq,country_hq,environment_projects_url,reports_publications,created_at
86b180d9-2034-4a4e-a4f2-851299aeb062,Catholic Youth Network for Environmental Sustainability in Africa,CYNESA,http://www.cynesa.org,Christian,Catholic,Africa,Kenya,http://www.cynesa.org/projects/,,2025-03-21 08:47:10.630963+00
8ade37e3-ae41-4054-850c-f008bec70842,Bishnoi Community,,,Hindu,Bishnoi,Asia,India,"https://www.uri.org/uri-story/20170605-bishnoi-not-just-community-belief-system-supports-environmental-commitment
https://india.mongabay.com/2020/04/bishnois-taking-environment-conservation-beyond-religion/",,2025-03-21 08:47:10.630963+00
91540305-213a-41ec-9ca2-89566f527111,Aytzim,,https://aytzim.org,Jewish,,North America,USA,https://aytzim.org/about-us,https://aytzim.org/resources/articles,2025-03-21 08:47:10.630963+00
9e97d7a1-7b2e-4c43-bed1-ac6f377c8c17,American Jewish World Service,,https://ajws.org,Jewish,,North America,USA,https://ajws.org/what-we-do/land-and-water-rights/,https://ajws-americanjewishwo.netdna-ssl.com/wp-content/uploads/2020/12/LWCJ_Issue_onePager.pdf,2025-03-21 08:47:10.630963+00
abb63f1e-90d1-469d-95ab-7761432ffe72,Buddhist Tzu Chi Foundation,,https://www.tzuchi.us,Buddhist,Jing Si Dharma,North America,USA,https://tzuchi.us/ethical-eating-day,,2025-03-21 08:47:10.630963+00
afc52b7a-306d-407e-bcb2-1ae4b06a024d,Afuhi Project,,https://afuhi.jp,Shinto,,Asia,Japan,"https://afuhi-jp.translate.goog/about/?_x_tr_sl=auto&_x_tr_tl=en&_x_tr_hl=en-GB&_x_tr_pto=nui
https://afuhi-jp.translate.goog/activity/?_x_tr_sl=auto&_x_tr_tl=en&_x_tr_hl=en-GB&_x_tr_pto=nui",,2025-03-21 08:47:10.630963+00
bb838d2c-408f-4dfa-b333-1ff19f2dd2c0,A Rocha,,https://www.arocha.org/en/,Christian,,Europe,United Kingdom,https://www.arocha.org/en/projects/,https://www.arocha.org/en/publications/annual-review-20202021/,2025-03-21 08:47:10.630963+00
be0ac258-8a90-4973-b70c-d48f5b64fbee,Cadena,,http://www.cadena.ngo/,Jewish,,North America,USA,https://cadena.ngo/en/prevention-and-resilience-building/,,2025-03-21 08:47:10.630963+00
ccf1bd45-e0e3-48cb-9ad9-4186d8362a35,Association of Buddhists for the Environment,ABE,http://abe-cambodia.blogspot.com,Buddhist,,Asia,Cambodia,http://abe-cambodia-project.blogspot.com,,2025-03-21 08:47:10.630963+00
cd81faf8-75c6-46cc-b4b2-05307261b9b9,African Council of Religious Leaders,ACRL-RfP,https://www.acrl-rfp.org,Interfaith,,Africa,Kenya,https://www.acrl-rfp.org/acrl-rfp-programs/protecting-the-earth-and-sustainable-development/,,2025-03-21 08:47:10.630963+00
d8017e2c-f2cd-46c4-b432-64b5e4ea09bd,Chicago Muslims Green Team,,https://chicagomuslimsgreenteam.org/,Muslim,,North America,USA,https://chicagomuslimsgreenteam.org/green-mosque-program,,2025-03-21 08:47:10.630963+00
de7f7db0-13c5-4bf9-9ed2-528ca677467c,Association Malienne Pour La Solidarite Et Le Developpement,,https://www.amsode.org,Secular - interfaith,,Africa,Mali,https://www.amsode.org/ce-que-nous-faisons/environnement-et-agriculture/,,2025-03-21 08:47:10.630963+00
e69a0a98-89c8-425c-9af4-17f9a36cdac6,"Agency for Honoring Environment and Natural Resources of the Indonesian Ulema Council ",MUI-LPLHSDA,https://mui-lplhsda.org,Muslim,,Asia,Indonesia,https://522vooo5rc45q3fw56tvkhx5bi-ac4c6men2g7xr2a-mui-lplhsda-org.translate.goog/tugas-pokok-dan-fungsi/,https://522vooo5rc45q3fw56tvkhx5bi-ac4c6men2g7xr2a-mui-lplhsda-org.translate.goog/category/referensi/e-book/,2025-03-21 08:47:10.630963+00
ecd6ea47-e9a4-41b8-8069-7099c66b0856,ACT Alliance,,http://actalliance.org/,Christian,Protestant - Orthodox,Europe,Switzerland,https://actalliance.org/climate-justice/,https://actalliance.org/documents/act-global-strategy-2019-2026/,2025-03-21 08:47:10.630963+00
f6bbd6bb-ed92-4a06-b2c4-4fd524e0e17e,Asia Indigenous Peoples Pact (AIPP),,https://aippnet.org,Indigenous,,Asia,Thailand,https://aippnet.org/programs/environment/,https://aippnet.org/publication/publication-climate-change-and-biodiversity/,2025-03-21 08:47:10.630963+00
fa7e6cef-dcce-478b-ad55-624120263c61,Alliance Development Trust,,http://adtlanka.org,Christian,Evangelical,Asia,Sri Lanka,"https://www.adtlanka.org/post/assistance-for-flood-affected-estate-communities
https://www.adtlanka.org/post/gangula-clean-water-for-residents-of-palaviya
https://www.adtlanka.org/blog-1/categories/sustainable-livelihood",,2025-03-21 08:47:10.630963+00
